0	douyin	2026-07-30T19:15	812	王者荣耀热度大幅下降的原因，原来因为这个 #盼之八周年宠粉 #王者玩家现状 #王者精彩推荐 #热门话题王者荣耀 #创作者扶持计划
1	douyin	2026-07-30T19:32	2	所以排到呆一些的辅助，中单要干两个人的活，要拆火，要开团，要盯屁股，有时候还要帮射手分担一些伤害。气得我去玩辅助两天上了二十颗星，如果玩中单我一周都上不了二十星。高一点的段位辅助其实真的不难玩，只要会玩几个硬辅廉颇张飞牛魔，看情况出真的很容易上分，但是我单排大概率都是遇到瑶朵莉亚墨子这些辅助，我自己也是女生不是英雄歧视，但是我遇到这些就是玩得很难受[哭哭]
2	douyin	2026-07-30T21:34	224766	谁要带我玩王者荣耀#王者荣耀 #连败
3	douyin	2026-07-30T21:56	0	前期，烂的要死。中期，差不多。后期，拉完了。
4	douyin	2026-07-30T22:16	1	等我飞天能穿墙资料不分叉等着吧[杀马特]
5	douyin	2026-07-30T22:40	1	法穿鞋，法穿棒，时之预言又不削，物理英雄的装备基本都很垃圾，而且我没记错的话最开始夺萃不受制裁影响，可以全额吃满16的吸血，结果后来加强梦魇的时候给夺萃的吸血调成了受影响，还有那个时之预言，给的双抗不受物理穿透影响[捂脸]阴不阴
6	douyin	2026-07-30T23:41	17	都错，就是elo劝退了一大堆人，谁不是从失败挫折无力但放弃，流失很多都是中分段的单排王，高手主播车队早上去了，新手菜鸡又无所谓，气跑的都是那些中分段想提升又要带几个累赘的。
7	douyin	2026-07-30T23:56	2	我对这个游戏就是三个字：无所谓，输赢真的不那么重要了，我用本命英雄打总是败方MVP，用不会玩的对抗英雄就能赢，没办法，系统让你输，你咋玩都赢不了，系统让你赢你挂机都能赢[哈欠]
8	douyin	2026-07-31T10:30	3	我觉得巅峰赛改成五分路确实拉完了
9	douyin	2026-07-31T10:49	40	听不懂，还是躲在水里最自在
10	douyin	2026-07-31T12:49	9	我觉得吧， 是对坑货太过于保护， 这游戏都不能骂人 ， 一个竞技游戏， 大家都不能开麦畅所欲言 [看]
11	douyin	2026-07-31T13:22	5	这个游戏从来不是竞技游戏，这就是一个纯商业游戏，核心要考虑的是要低中高玩家都能玩，然后让1个星期打2盘和1天打30盘的都能赢，还不能让你老赢，然后还要能卖皮肤，所以这根本不是竞技游戏
12	douyin	2026-07-31T14:44	1	我已经输疯了，昨天遇见了1-6的马超，想到这把输就气，结果马超被踢出去了，我就开始疯狂发全部感谢马超，我甚至想让对面赶紧给水晶推了，出去一看银牌加上赔偿的110分还加了一颗星，爽[鼓掌][鼓掌]
13	douyin	2026-07-31T15:22	0	金蝉我觉得不怎么冷门，最近玩的玩家太多了
14	douyin	2026-07-31T15:53	1	是不是下坡路无所谓，进去把所有文字和语音关掉，打两把消遣一下时间，然后下线
15	douyin	2026-07-31T18:31	0	为什么我的六耳一直守家？别人的六耳门门五杀
16	douyin	2026-07-31T21:37	1	蒙犽前期是很弱，但是装备起来伤害不是一般高，如果对面突进少，蒙犽伤害还是很高的[杀马特]
17	douyin	2026-08-01T01:29	18	这要是挂，我开学去吃饭排队的时候有一双白嫩纤细的手轻轻拍了拍我，我转头发现那是一个身高164，长相甜美，性格乖巧，带有一点傲娇属性，恋爱脑爱吃醋，黏人对人温柔，高马尾声音软萌不善于社交的傻白甜卡哇伊学妹，初来乍到忘记带饭卡看到我这么一个帅气和善的学长就鼓起勇气红着脸来寻求我的帮助，并和我共进晚餐后还和我约定明天要在同样的地点要请我吃饭，但她又忘记带饭卡，就这样我们一整个星期都一起吃饭也慢慢熟络起来并且在当天的周末她加上了我的联系方式，巧合的是每次她忘带饭卡都能在人群中找到我，她奔向我看着我的侧脸心中泛起阵阵涟漪，她被我的温柔，善良还有颜值被所攻略在这一天晚上我们共进晚餐时她突然凑到我的面前，支支吾吾双手在胸前不知所措，闭月羞花含情脉脉看着我说。如果每天你都在我身边，那我就再也不怕忘带饭卡了，这个时候我会起身转头沉默，在她饱含热泪的不知所措的时候转过头对他说喂喂喂，打算就这样轻易的闯入我的世界吗?就算你是个可爱的小学妹也无法原谅呢，真是的那就惩罚你后面的人生里的每一顿饭都和我一起吃吧，她一脸茫然用一双可爱的眼睛看着我，这时我会转过头对她说傻瓜，我答应你了[舔屏]
18	douyin	2026-08-01T01:58	22413	打团只打肉？逆风只会送？遇到这种“死心眼”打野赶紧跑！ #王者荣耀 #教学 #打野
19	douyin	2026-08-01T10:10	1	真不喜欢打野，开局我野区都没清完队友就掉了，然后我清完是先帮对抗了，帮对抗路杀死对面我又做传送去发育路，帮忙发育路中路又问我为什么不帮[捂脸]
20	douyin	2026-08-01T10:13	800	S44排位大变天！大量玩家打上王者1星就停手，三点原因太真实 S44排位大变天！大量玩家打上王者1星就停手，三点原因太真实#王者荣耀
21	douyin	2026-08-01T11:40	0	就这么说吧 孙尚香他看似很强实则一坨屎只有顺风的时候有才是最好发育的时候但凡逆风一点 孙尚香就是最好的那个突破口又脆又好杀而且不会玩的还没有逃脱力[笑哭]
22	douyin	2026-08-01T12:04	1	[戳手手]
23	douyin	2026-08-01T14:52	0	哎，我不理解的，重开很难吗？每次我们这边有人说有事情要重开的时候，队友老是不配合，选个猎奇阵容，然后就说然后还要开骂，一辈子没打过野，今天给我整的打野去了
24	douyin	2026-08-01T15:09	1	这个王者最近简直是闹鬼了，我上个赛季我朋友2100多分打我一个1300的，然后给打破防了，给王者删了。还有王者新出的六耳放在对面给我打爆了，放在我们家给我恶心死了，最近老是频繁的加强某个英雄搬位都不太够用了
25	douyin	2026-08-01T15:35	29	到底啥时候才能单排只排单排选手，我真的吐了，我从不怕对手强，就怕队友菜的离谱，
26	douyin	2026-08-01T17:17	15795	王者S44全英雄强度排行丨 没有手法，全是强度！#王者荣耀#梯度排行#暗信 #六耳
